Province_EN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PHETCHABUN,23280.769968,24441.895478000002,22629.007207,23504.143339000002,25038.230155,24714.396552,26389.741304,26709.708643,29372.365843999996,28389.477411999997,30154.046835,30778.858769,33167.607641,36165.622860999996,37617.834794999995,37205.498059,37864.77765,41649.23894,40034.704934,42134.595654000004,41699.120103,43125.517099000004,41240.335354999996,43663.293932
PHUKET,30098.41968,33003.360758,33221.712878,40086.294645,45078.306511,51535.856947,53299.496269,53833.399358,52751.105242,61397.896368999995,51634.183331,66820.466856,75730.748786,77413.609382,74377.21993300001,84077.269055,91262.24807500001,102698.775723,112217.184588,116378.356647,129902.153189,144978.078606,151342.936196,162239.019092
SURAT THANI,55462.378822,59672.273711,56357.738074,56232.58912799999,60989.181757,58429.147326,60195.385442000006,63884.517712999994,68972.167628,77536.501797,80472.338445,87469.95209199999,83012.278266,87278.84730600001,86622.25181599999,91714.12513700001,94828.070277,104584.80598699999,113056.984557,110472.103684,114997.10688,118460.755027,123989.926784,125470.97607199999
RANONG,16797.475886,16369.330317,14485.144794,14423.372948999999,12334.321094,12061.473147,11849.691395,11377.863137,11897.384788,14775.841938,15357.438821,15696.006595,16543.882339,17129.768676,17350.618574,17176.144732,16368.73139,16976.268532,17259.338057999998,17356.704864,16746.193681999997,18145.047270000003,18683.65514,19295.386931999998
PHANGNGA,17846.266933,19285.68331,20980.686654999998,17988.448297,16563.220388,17064.059905,16337.592003,16446.599852,17262.604976,19285.808949,19165.326585000003,19945.3477,20605.560761999997,22354.731488,23044.671122,23164.796428999998,24054.9435,24781.347097,25936.467847,28173.586878000002,34657.832779000004,36560.191745,39806.794117000005,42068.511359000004
KRABI,18963.273516999998,19731.533903,18606.141364,18580.644284,21064.948901,19380.973433000003,22515.49134,24031.020578,27256.755657,30442.01,27790.917903,33391.388102000004,35372.238694,37888.492734,37319.326663,35737.382602,39648.905821,44467.41025,45252.73581599999,48650.718912,48814.814166000004,49990.7736,52359.077818,53788.406172
CHUMPHON,24223.809171,28308.946595,27329.684419999998,28957.423651999998,33189.218797,28130.150348000003,27094.95752,29558.626975000003,30105.829283,32653.247622000003,33407.318642,34734.908311,36684.581453,38112.572615,39246.556528999994,37469.907174,35775.672107,36887.297869,40428.981212,39991.260396000005,38300.375903,42552.32365300001,41873.539507,45396.768077999994
NAKHON SI THAMMARAT,65407.514656,72427.871564,76793.885818,75467.238589,82145.699186,79050.877926,77964.912721,82147.925903,86649.096638,91272.10835600001,90452.41992100001,85411.594817,86851.275828,78560.20971,86250.62826599999,94887.343283,86708.192098,90616.07515199999,93233.403958,90726.19008,89854.533567,92198.023306,94541.011948,98689.876042
SONGKHLA,102795.644565,100792.161788,99182.72450699999,99930.255429,101484.054456,103988.26521299999,106009.56628099999,108734.756758,115749.10760999999,119454.62828,128899.816384,130788.396666,130595.022775,129264.164807,131608.088193,142465.337381,143474.948324,150977.594439,159641.762105,154910.17812000003,162759.229971,165021.83963600002,159718.715544,165400.928728
SATUN,16729.224886,17339.523091,17056.404824,17575.007394,20701.01188,18847.654501,17685.750946,17494.318968,17106.366875,18822.865891,19800.216985000003,20402.536765,20997.610749,19946.408961,20963.258029,21586.333594,22162.758579999998,22841.950620000003,22138.999503,22416.731339,22482.366550000002,22190.550045,20972.924657000003,20797.003539
YALA,20435.168729999998,20508.387235000002,19983.654856,19881.551075,19937.279318,18982.112051999997,18021.047487,18414.258103,20082.812147,20532.570089,21711.654923000002,21570.010977,22569.338032,21678.374282,22715.830269,24440.751278,24389.856336999997,24079.655568,22040.680146,22665.281203000002,22113.073884,23040.762528,22152.643203,23866.776992
TRANG,28406.071902,31206.078339999996,31370.793616,30609.280155,31359.437726,32000.301715,33202.440097,33459.047700999996,36755.129606999995,37843.411567,39702.767318,40708.389703,40352.226505,40391.553266,40512.099523,41038.87509,41953.433027,39126.722515,39268.83575499999,39916.111104999996,38776.928318,40398.584856,40541.139416000005,39713.715287
NARATHIWAT,17697.929432,19349.762662999998,19000.026461,19836.920878,20054.883448,17983.174321,18002.979149,19238.489057000003,22809.415616,23147.636334000003,23601.553669,24713.407707000002,25316.453153,24080.077802,25419.004688,26575.52261,26861.656113999998,21457.453216,20657.457478,21328.419417,21076.454211,21889.149909,20334.468413,23408.948645
