    กระบี่,    Krabi,11986.0,9928.0,13318.0,16877.0,18446.0,18852.0,23647.0,33350.3,27275.8,31011.5
    พังงา,    Phangnga,7650.0,10217.0,12428.0,16965.0,29617.0,22211.0,22356.0,24470.4,26167.7,28842.3
    ภูเก็ต,    Phuket,19313.0,20702.0,26363.0,25082.0,25630.0,25084.0,28515.0,26048.0,31857.4,31499.7
    สุราษฎร์ธานี,    Surat Thani,11967.0,10800.0,14056.0,16150.0,21747.0,26207.0,30604.0,34416.6,36864.5,36465.6
    ระนอง,    Ranong,9033.0,9410.0,10765.0,14328.0,18679.0,21620.0,19274.0,26048.7,32291.8,22034.7
    ชุมพร,    Chumphon,10232.0,10454.0,10922.0,11482.0,17232.0,19003.0,25179.0,28021.5,27540.2,29306.1
    สงขลา,    Songkhla,15057.0,13505.0,14192.0,15481.0,22093.0,22342.0,27356.0,26711.2,26824.1,27659.9
    สตูล,    Satun,8924.0,9711.0,12702.0,11826.0,14307.0,17328.0,20695.0,21046.8,25399.6,23208.5
    ตรัง,    Trang,12973.0,12782.0,14332.0,17038.0,20801.0,23650.0,21992.0,36245.2,33269.9,23309.1
    พัทลุง,    Phattalung,12315.0,11550.0,10820.0,14985.0,18045.0,18670.0,19381.0,25201.9,26169.3,21478.3
    ปัตตานี,    Pattani,10737.0,9759.0,9702.0,11837.0,12547.0,11840.0,13511.0,16121.5,20199.1,17513.0
    ยะลา,    Yala,7560.0,9932.0,10018.0,11886.0,14354.0,13698.0,19619.0,21858.8,22483.1,15583.8
    นราธิวาส,    Narathiwat,6281.0,7802.0,7603.0,9240.0,11586.0,13148.0,11244.0,16834.4,16772.8,19889.6
